Id,LotFrontage,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,YrSold,SalePrice
31,50,8500,IDOTRR,4,4,1920,1950,649,649,668,1317,3,1,6,0,1920,1,250,2008,40000
32,NA,8544,Sawyer,5,6,1966,2006,1228,1228,0,1228,3,1,6,0,1966,1,271,2008,149350
33,85,11049,CollgCr,8,5,2007,2007,1234,1234,0,1234,3,1,7,0,2007,2,484,2008,179900
34,70,10552,NAmes,5,5,1959,1959,1398,1700,0,1700,4,1,6,1,1959,2,447,2010,165500
35,60,7313,NridgHt,9,5,2005,2005,1561,1561,0,1561,2,1,6,1,2005,2,556,2007,277500
36,108,13418,NridgHt,8,5,2004,2005,1117,1132,1320,2452,4,1,9,1,2004,3,691,2006,309000
37,112,10859,CollgCr,5,5,1994,1995,1097,1097,0,1097,3,1,6,0,1995,2,672,2009,145000
38,74,8532,NAmes,5,6,1954,1990,1297,1297,0,1297,3,1,5,1,1954,2,498,2009,153000
39,68,7922,NAmes,5,7,1953,2007,1057,1057,0,1057,3,1,5,0,1953,1,246,2010,109000
40,65,6040,Edwards,4,5,1955,1955,0,1152,0,1152,2,2,6,0,NA,0,0,2008,82000
41,84,8658,NAmes,6,5,1965,1965,1088,1324,0,1324,3,1,6,1,1965,2,440,2006,160000
42,115,16905,Timber,5,6,1959,1959,1350,1328,0,1328,2,1,5,2,1959,1,308,2007,170000
43,NA,9180,SawyerW,5,7,1983,1983,840,884,0,884,2,1,5,0,1983,2,504,2007,144000
44,NA,9200,CollgCr,5,6,1975,1980,938,938,0,938,3,1,5,0,1977,1,308,2008,130250
45,70,7945,NAmes,5,6,1959,1959,1150,1150,0,1150,3,1,6,0,1959,1,300,2006,141000
46,61,7658,NridgHt,9,5,2005,2005,1752,1752,0,1752,2,1,6,1,2005,2,576,2010,319900
47,48,12822,Mitchel,7,5,2003,2003,1434,1518,631,2149,1,1,6,1,2003,2,670,2009,239686
48,84,11096,Somerst,8,5,2006,2006,1656,1656,0,1656,3,1,7,0,2006,3,826,2007,249700
49,33,4456,OldTown,4,5,1920,2008,736,736,716,1452,2,3,8,0,NA,0,0,2009,113000
50,66,7742,Sawyer,5,7,1966,1966,955,955,0,955,3,1,6,0,1966,1,386,2007,127000
51,NA,13869,Gilbert,6,6,1997,1997,794,794,676,1470,3,1,6,0,1997,2,388,2007,177000
52,52,6240,BrkSide,6,6,1934,1950,816,816,0,1176,3,1,6,1,1985,2,528,2006,114500
53,110,8472,IDOTRR,5,5,1963,1963,816,816,0,816,2,1,5,0,1963,2,516,2010,110000
54,68,50271,Veenker,9,5,1981,1987,1842,1842,0,1842,0,1,5,1,1981,3,894,2006,385000
55,60,7134,NAmes,5,5,1955,1955,384,1360,0,1360,3,1,6,1,1962,2,572,2007,130000
56,100,10175,NAmes,6,5,1964,1964,1425,1425,0,1425,3,1,7,1,1964,2,576,2008,180500
57,24,2645,Somerst,8,5,1999,2000,970,983,756,1739,3,1,7,0,1999,2,480,2009,172500
58,89,11645,CollgCr,7,5,2004,2004,860,860,860,1720,3,1,7,0,2004,2,565,2006,196500
59,66,13682,StoneBr,10,5,2006,2006,1410,1426,1519,2945,3,1,10,1,2006,3,641,2006,438780
60,60,7200,CollgCr,5,7,1972,1972,780,780,0,780,2,1,4,0,1973,1,352,2008,124900
61,63,13072,SawyerW,6,5,2004,2004,1158,1158,0,1158,3,1,5,0,2006,2,576,2006,158000
62,60,7200,IDOTRR,5,7,1920,1996,530,581,530,1111,3,1,6,0,1935,1,288,2007,101000
63,44,6442,NridgHt,8,5,2006,2006,1370,1370,0,1370,2,1,6,1,2006,2,484,2007,202500
64,50,10300,OldTown,7,6,1921,1950,576,902,808,1710,3,1,9,0,1990,2,480,2010,140000
65,NA,9375,CollgCr,7,5,1997,1998,1057,1057,977,2034,3,1,8,0,1998,2,645,2009,219500
66,76,9591,NridgHt,8,5,2004,2005,1143,1143,1330,2473,4,1,9,1,2004,3,852,2007,317000
67,NA,19900,NAmes,7,5,1970,1989,1947,2207,0,2207,3,1,7,1,1970,2,576,2010,180000
68,72,10665,CollgCr,7,5,2003,2003,1453,1479,0,1479,3,1,7,0,2003,2,558,2007,226000
69,47,4608,OldTown,4,6,1945,1950,747,747,0,747,2,1,4,0,1945,1,220,2010,80000
70,81,15593,ClearCr,7,4,1953,1953,1304,1304,983,2287,3,1,7,1,1953,2,667,2006,225000
71,95,13651,NAmes,7,6,1973,1973,2223,2223,0,2223,3,1,8,2,1973,2,516,2007,244000
72,69,7599,Mitchel,4,6,1982,2006,845,845,0,845,2,1,4,0,1987,2,360,2007,129500
73,74,10141,Gilbert,7,5,1998,1998,832,885,833,1718,3,1,7,1,1998,2,427,2009,185000
74,85,10200,NAmes,5,7,1954,2003,1086,1086,0,1086,3,1,6,0,1989,2,490,2010,144900
75,60,5790,OldTown,3,6,1915,1950,840,840,765,1605,3,2,8,0,1915,1,379,2010,107400
76,21,1596,MeadowV,4,5,1973,1973,462,526,462,988,2,1,5,0,1973,1,297,2009,91000
77,NA,8475,NAmes,4,7,1956,1956,952,952,0,952,2,1,4,0,1956,1,283,2008,135750
78,50,8635,BrkSide,5,5,1948,2001,672,1072,213,1285,2,1,6,0,1948,1,240,2008,127000
79,72,10778,Sawyer,4,5,1968,1968,1768,1768,0,1768,4,2,8,0,NA,0,0,2010,136500
80,60,10440,OldTown,5,6,1910,1981,440,682,548,1230,2,1,5,0,1966,2,440,2009,110000
81,100,13000,NAmes,6,6,1968,1968,896,1182,960,2142,4,1,8,1,1968,1,509,2009,193500
82,32,4500,Mitchel,6,5,1998,1998,1237,1337,0,1337,2,1,5,0,1998,2,405,2006,153500
83,78,10206,Somerst,8,5,2007,2007,1563,1563,0,1563,3,1,6,1,2007,3,758,2008,245000
84,80,8892,NAmes,5,5,1960,1960,1065,1065,0,1065,3,1,6,0,1974,2,461,2007,126500
85,NA,8530,Gilbert,7,5,1995,1996,384,804,670,1474,3,1,7,1,1995,2,400,2009,168500
86,121,16059,NoRidge,8,5,1991,1992,1288,1301,1116,2417,4,1,9,1,1991,2,462,2006,260000
87,122,11911,Gilbert,6,5,2005,2005,684,684,876,1560,3,1,6,1,2005,2,400,2009,174000
88,40,3951,Somerst,6,5,2009,2009,612,612,612,1224,2,1,4,0,2009,2,528,2009,164500
89,105,8470,IDOTRR,3,2,1915,1982,1013,1013,0,1526,2,1,6,0,NA,0,0,2009,85000
90,60,8070,CollgCr,4,5,1994,1995,990,990,0,990,3,1,5,0,NA,0,0,2007,123600
91,60,7200,NAmes,4,5,1950,1950,0,1040,0,1040,2,1,4,0,1950,2,420,2006,109900
92,85,8500,NAmes,5,3,1961,1961,1235,1235,0,1235,2,1,6,0,1961,2,480,2006,98600
93,80,13360,Crawfor,5,7,1921,2006,876,964,0,964,2,1,5,0,1921,2,432,2009,163500
94,60,7200,OldTown,6,6,1910,1998,1214,1260,1031,2291,4,2,9,1,1900,2,506,2007,133900
95,69,9337,CollgCr,6,5,1997,1997,824,905,881,1786,3,1,7,0,1997,2,684,2007,204750
96,NA,9765,Gilbert,6,8,1993,1993,680,680,790,1470,3,1,6,1,1993,2,420,2009,185000
97,78,10264,CollgCr,7,5,1999,1999,1588,1588,0,1588,3,1,6,0,1999,2,472,2006,214000
98,73,10921,Edwards,4,5,1965,1965,960,960,0,960,3,1,6,0,1965,1,432,2007,94750
99,85,10625,Edwards,5,5,1920,1950,458,835,0,835,2,1,5,0,1920,1,366,2010,83000
100,77,9320,NAmes,4,5,1959,1959,950,1225,0,1225,3,1,6,0,NA,0,0,2010,128950
101,NA,10603,NWAmes,6,7,1977,2001,1610,1610,0,1610,3,1,6,2,1977,2,480,2010,205000
102,77,9206,SawyerW,6,5,1985,1985,741,977,755,1732,3,1,7,1,1985,2,476,2010,178000
103,64,7018,SawyerW,5,5,1979,1979,0,1535,0,1535,4,2,8,0,1979,2,410,2009,118964
104,94,10402,CollgCr,7,5,2009,2009,1226,1226,0,1226,3,1,6,0,2009,3,740,2010,198900
105,NA,7758,IDOTRR,7,4,1931,1950,1040,1226,592,1818,4,1,7,2,1951,1,240,2007,169500
106,75,9375,Somerst,8,5,2003,2004,1053,1053,939,1992,3,1,9,1,2003,2,648,2008,250000
107,60,10800,OldTown,4,7,1885,1995,641,1047,0,1047,2,1,6,0,1954,1,273,2007,100000
108,50,6000,OldTown,5,5,1948,1950,789,789,0,789,2,1,5,0,1948,1,250,2008,115000
109,85,8500,IDOTRR,5,7,1919,2005,793,997,520,1517,3,1,7,0,NA,0,0,2007,115000
110,105,11751,NWAmes,6,6,1977,1977,1844,1844,0,1844,3,1,7,1,1977,2,546,2010,190000
111,75,9525,Edwards,6,4,1954,1972,994,1216,639,1855,4,1,7,0,1954,1,325,2006,136900
112,NA,7750,Gilbert,7,5,2000,2000,384,774,656,1430,3,1,7,1,2000,2,400,2010,180000
113,77,9965,CollgCr,7,5,2007,2007,1264,1282,1414,2696,4,1,10,1,2007,3,792,2007,383970
114,NA,21000,Crawfor,6,5,1953,1953,1809,2259,0,2259,3,1,7,2,1953,2,450,2007,217000
115,61,7259,Crawfor,6,8,1945,2002,1028,1436,884,2320,3,1,9,1,1945,1,180,2007,259500
116,34,3230,Somerst,6,5,1999,1999,729,729,729,1458,2,1,5,1,1999,2,440,2007,176000
117,NA,11616,Sawyer,5,5,1962,1962,1092,1092,0,1092,3,1,6,1,1962,1,288,2009,139000
118,74,8536,Edwards,5,5,2006,2007,1125,1125,0,1125,2,1,5,0,2007,2,430,2007,155000
119,90,12376,SawyerW,7,5,1990,1990,1673,1699,1523,3222,5,1,11,2,1990,3,594,2010,320000
120,65,8461,CollgCr,6,5,2005,2006,728,728,728,1456,3,1,8,1,2005,2,390,2006,163990
121,NA,21453,ClearCr,6,5,1969,1969,938,988,0,988,1,1,4,2,1969,2,540,2006,180000
122,50,6060,IDOTRR,4,5,1939,1950,732,772,351,1123,3,1,4,0,1979,1,264,2007,100000
123,75,9464,NAmes,6,7,1958,1958,1080,1080,0,1080,3,1,5,0,1958,1,288,2008,136000
124,55,7892,SawyerW,6,5,1993,1993,1199,1199,0,1199,2,1,5,0,1993,2,530,2008,153900
125,48,17043,NWAmes,6,5,1979,1998,1362,1586,0,1586,3,1,7,1,1979,2,435,2009,181000
126,60,6780,IDOTRR,6,8,1935,1982,520,520,0,754,2,1,5,0,NA,0,0,2006,84500
127,NA,4928,NPkVill,6,5,1976,1976,1078,958,0,958,2,1,5,1,1977,2,440,2007,128000
128,55,4388,OldTown,5,7,1930,1950,672,840,0,840,3,1,5,1,NA,0,0,2007,87000
129,69,7590,NAmes,6,5,1966,1966,660,660,688,1348,3,1,6,1,1966,2,453,2006,155000
130,69,8973,NAmes,5,7,1958,1991,1008,1053,0,1053,3,1,6,0,1998,2,750,2006,150000
131,88,14200,NAmes,7,6,1966,1966,924,1216,941,2157,4,1,8,2,1966,2,487,2006,226000
132,NA,12224,Gilbert,6,5,2000,2000,992,1022,1032,2054,3,1,7,1,2000,2,390,2009,244000
133,75,7388,NAmes,5,6,1959,2002,1063,1327,0,1327,3,1,7,0,1974,2,624,2007,150750
134,NA,6853,Timber,8,5,2001,2002,1267,1296,0,1296,2,1,6,0,2001,2,471,2009,220000
135,78,10335,Sawyer,5,6,1968,1993,1461,1721,0,1721,3,1,7,1,1968,2,440,2006,180000
136,80,10400,NWAmes,7,6,1970,1970,1304,1682,0,1682,3,1,7,1,1970,2,530,2008,174000
137,NA,10355,NAmes,5,5,1967,1967,1214,1214,0,1214,3,1,5,1,1967,1,318,2007,143000
138,82,11070,Mitchel,7,5,1988,1989,1907,1959,0,1959,5,2,9,0,1989,3,766,2006,171000
139,73,9066,CollgCr,8,5,1999,2000,1004,1004,848,1852,3,1,7,2,1999,3,660,2008,230000
140,65,15426,CollgCr,6,5,1997,1997,928,928,836,1764,3,1,7,0,1997,2,470,2009,231500
141,70,10500,NAmes,4,5,1971,1971,864,864,0,864,3,1,5,1,NA,0,0,2010,115000
142,78,11645,CollgCr,7,5,2005,2005,1734,1734,0,1734,3,1,7,0,2005,2,660,2006,260000
143,71,8520,NAmes,5,4,1952,1952,910,910,475,1385,4,1,6,0,2000,2,720,2010,166000
144,78,10335,CollgCr,7,5,1999,1999,1490,1501,0,1501,3,1,6,0,1999,2,577,2009,204000
145,70,9100,Sawyer,5,5,1963,1963,1728,1728,0,1728,6,2,10,0,1963,2,504,2006,125000
146,24,2522,Edwards,6,5,2004,2006,970,970,739,1709,3,1,7,0,2004,2,380,2006,130000
147,51,6120,BrkSide,5,7,1931,1993,715,875,0,875,2,1,5,0,1931,1,180,2009,105000
148,NA,9505,Gilbert,7,5,2001,2001,884,884,1151,2035,3,1,8,1,2001,2,434,2010,222500
149,63,7500,SawyerW,7,5,2004,2005,1080,1080,0,1080,3,1,6,0,NA,0,0,2008,141000
150,NA,6240,BrkSide,5,4,1936,1950,896,896,448,1344,3,1,7,0,1936,1,240,2006,115000
151,120,10356,CollgCr,5,6,1975,1975,969,969,0,969,3,1,5,0,1975,2,440,2007,122000
152,107,13891,NridgHt,8,5,2007,2008,1710,1710,0,1710,2,1,6,1,2007,3,866,2008,372402
153,NA,14803,NWAmes,6,5,1971,1971,825,1097,896,1993,4,1,8,1,1971,2,495,2006,190000
154,NA,13500,ClearCr,6,7,1960,1975,1602,1252,0,1252,1,1,4,1,1960,2,564,2008,235000
155,84,11340,OldTown,6,5,1923,1950,1200,1200,0,1200,4,1,7,0,1923,1,312,2006,125000
156,60,9600,Edwards,6,5,1924,1950,572,572,524,1096,2,1,5,0,NA,0,0,2008,79000
157,60,7200,NAmes,5,7,1950,1950,0,1040,0,1040,2,1,5,0,1950,2,625,2006,109500
158,92,12003,Timber,8,5,2009,2010,774,774,1194,1968,4,1,8,1,2009,3,680,2010,269500
159,100,12552,Somerst,7,5,2004,2005,991,991,956,1947,3,1,8,1,2004,2,678,2010,254900
160,134,19378,Gilbert,7,5,2005,2006,1392,1392,1070,2462,4,1,9,1,2006,2,576,2006,320000
161,NA,11120,Veenker,6,6,1984,1984,1232,1232,0,1232,3,1,6,0,1984,2,516,2008,162500
162,110,13688,NridgHt,9,5,2003,2004,1572,1572,1096,2668,3,1,10,2,2003,3,726,2008,412500
163,95,12182,NridgHt,7,5,2005,2005,1541,1541,0,1541,3,1,7,1,2005,2,532,2010,220000
164,55,5500,OldTown,4,6,1956,1956,882,882,0,882,1,1,4,0,NA,0,0,2007,103200
165,40,5400,OldTown,6,7,1926,2004,1149,1149,467,1616,3,1,5,0,1926,1,216,2007,152000
166,62,10106,Edwards,5,7,1940,1999,644,808,547,1355,4,2,6,0,NA,0,0,2008,127500
167,NA,10708,ClearCr,5,5,1955,1993,1617,1867,0,1867,2,1,7,3,1955,1,303,2009,190000
168,86,10562,NridgHt,8,5,2007,2007,1582,1610,551,2161,3,1,8,1,2007,3,789,2007,325624
169,62,8244,Gilbert,7,5,2004,2004,840,840,880,1720,3,1,7,1,2004,2,440,2007,183500
170,NA,16669,Timber,8,6,1981,1981,1686,1707,0,1707,2,1,6,1,1981,2,511,2006,228000
171,NA,12358,OldTown,5,6,1941,1950,720,854,0,1382,2,1,7,0,1991,2,660,2007,128500
172,141,31770,NAmes,6,5,1960,1960,1080,1656,0,1656,3,1,7,2,1960,2,528,2010,215000
173,44,5306,StoneBr,7,7,1987,1987,1064,1064,703,1767,2,1,5,1,1987,2,504,2006,239000
174,80,10197,NAmes,6,5,1961,1961,1362,1362,0,1362,3,1,6,1,1961,2,504,2008,163000
175,47,12416,Timber,6,5,1986,1986,1606,1651,0,1651,3,1,7,1,1986,2,616,2008,184000
176,84,12615,Edwards,6,7,1950,2001,1202,2158,0,2158,4,1,7,1,1950,2,576,2007,243000
177,97,10029,ClearCr,6,5,1988,1989,1151,1164,896,2060,4,1,8,1,1988,2,521,2007,211000
178,NA,13650,Sawyer,5,5,1958,1958,1052,1252,668,1920,4,1,8,1,1958,2,451,2006,172500
179,63,17423,StoneBr,9,5,2008,2009,2216,2234,0,2234,1,1,9,1,2009,3,1166,2009,501837
180,60,8520,OldTown,5,6,1923,2006,968,968,0,968,2,1,5,0,1935,2,480,2007,100000
181,NA,2117,Somerst,6,5,2000,2000,756,769,756,1525,3,1,5,1,2000,2,440,2007,177000
182,54,7588,Crawfor,7,6,1920,1950,793,901,901,1802,4,1,9,1,1920,1,216,2006,200100
183,60,9060,Edwards,5,6,1957,2006,0,1340,0,1340,3,1,7,1,1957,1,252,2007,120000
184,63,11426,OldTown,7,5,2003,2003,1362,1362,720,2082,3,1,6,0,2003,2,484,2008,200000
185,92,7438,BrkSide,5,8,1908,1991,504,936,316,1252,3,1,5,0,1986,2,576,2006,127000
186,90,22950,OldTown,10,9,1892,1993,1107,1518,1518,3608,4,1,12,2,1993,3,840,2006,475000
187,NA,9947,Mitchel,7,5,1990,1991,1188,1217,0,1217,3,1,6,0,1990,2,497,2009,173000
188,60,10410,OldTown,5,7,1916,1987,660,808,704,1656,3,1,8,0,1916,1,180,2009,135000
189,64,7018,SawyerW,5,5,1979,1979,1086,1224,0,1224,2,2,6,2,1979,2,528,2009,153337
190,41,4923,StoneBr,8,5,2001,2002,1593,1593,0,1593,0,1,5,1,2001,2,682,2008,286000
191,70,10570,Crawfor,8,8,1932,1994,853,1549,1178,2727,3,1,10,2,1932,2,440,2007,315000
192,NA,7472,NAmes,7,9,1972,2004,725,725,754,1479,4,1,7,0,1972,2,484,2007,184000
193,68,9017,CollgCr,7,5,1999,1999,1431,1431,0,1431,3,1,6,0,1999,2,666,2009,192000
194,24,2522,Edwards,7,5,2004,2004,970,970,739,1709,3,1,7,0,2004,2,380,2006,130000
195,60,7180,CollgCr,5,7,1972,1972,864,864,0,864,3,1,5,0,1989,1,352,2008,127000
196,24,2280,NPkVill,6,6,1976,1976,855,855,601,1456,3,1,7,1,1976,2,440,2009,148500
197,79,9416,Somerst,7,5,2007,2007,1726,1726,0,1726,3,1,8,1,2007,3,786,2007,311872
198,174,25419,NAmes,8,4,1918,1990,1360,1360,1360,3112,4,1,8,1,1918,2,795,2006,235000
199,92,5520,OldTown,6,6,1912,1950,755,929,929,2229,5,1,8,0,NA,0,0,2009,104000
200,76,9591,NridgHt,8,5,2004,2005,1713,1713,0,1713,3,1,7,1,2004,3,856,2009,274900
201,80,8546,Edwards,4,5,2003,2004,1121,1121,0,1121,2,1,5,0,2003,2,440,2010,140000
202,75,10125,Mitchel,6,6,1977,1977,1196,1279,0,1279,3,1,6,2,1980,2,473,2008,171500
203,50,7000,OldTown,6,6,1924,1950,617,865,445,1310,2,1,6,0,1924,1,398,2006,112000
204,NA,4438,CollgCr,6,5,2004,2004,848,848,0,848,1,1,3,1,2004,2,420,2008,149000
205,50,3500,OldTown,5,7,1947,1950,720,720,564,1284,2,1,5,0,1948,1,240,2009,110000
206,99,11851,Gilbert,7,5,1990,1990,1424,1442,0,1442,3,1,5,0,1990,2,500,2009,180500
207,40,13673,Sawyer,5,5,1962,1962,1140,1696,0,1696,3,1,8,1,1962,1,349,2007,143900
208,NA,12493,NAmes,4,5,1960,1960,1100,1100,0,1100,3,1,6,1,1960,1,312,2008,141000
209,NA,14364,SawyerW,7,5,1988,1989,1157,1180,882,2062,3,1,7,1,1988,2,454,2007,277000
210,75,8250,NAmes,6,7,1964,1964,1092,1092,0,1092,3,1,6,0,1964,2,504,2008,145000
211,67,5604,Edwards,5,6,1925,1950,864,864,0,864,2,1,5,0,NA,0,0,2008,98000
212,83,10420,Edwards,6,5,2009,2009,1212,1212,0,1212,3,1,6,0,2009,2,460,2010,186000
213,72,8640,Somerst,7,5,2009,2009,900,932,920,1852,3,1,7,1,2009,2,644,2009,252678
214,43,13568,CollgCr,5,5,1995,1995,990,990,0,990,3,1,5,0,1996,2,576,2006,156000
215,NA,10900,CollgCr,6,7,1977,1977,689,689,703,1392,3,1,6,0,1977,1,299,2010,161750
216,72,10011,NAmes,5,6,1957,1996,1070,1236,0,1236,2,1,6,1,1957,1,447,2006,134450
217,65,8450,CollgCr,7,5,2004,2004,1436,1436,0,1436,3,1,8,0,2004,2,484,2008,210000
218,57,9906,OldTown,4,4,1925,1950,686,810,518,1328,3,1,8,0,1940,1,210,2006,107000
219,NA,15660,Crawfor,7,9,1939,2006,798,1137,817,1954,3,1,8,2,1939,2,431,2008,311500
220,43,3010,Blmngtn,7,5,2005,2006,1248,1248,0,1248,2,1,5,0,2005,2,438,2006,167240
221,73,8990,CollgCr,7,5,2006,2006,1498,1498,0,1498,2,1,5,0,2006,2,675,2006,204900
222,NA,8068,Gilbert,6,5,2002,2002,1010,1010,1257,2267,4,1,8,1,2002,2,390,2009,200000
223,85,11475,NWAmes,6,6,1975,1975,713,811,741,1552,3,1,6,1,1975,2,434,2006,179900
224,70,10500,NAmes,4,6,1971,1971,864,864,0,864,2,1,4,0,1989,2,576,2009,97000
225,103,13472,NridgHt,10,5,2003,2003,2392,2392,0,2392,3,1,8,1,2003,3,968,2009,386250
226,21,1680,BrDale,5,5,1971,1971,630,630,672,1302,3,1,6,0,1991,1,280,2009,112000
227,82,9950,NoRidge,7,5,1995,1995,1203,1214,1306,2520,4,1,9,1,1995,3,721,2007,290000
228,21,1869,BrDale,6,6,1970,1970,483,483,504,987,2,1,5,0,1987,1,280,2008,106000
229,70,8521,Sawyer,5,5,1967,1967,912,912,0,912,3,1,5,1,1974,1,336,2010,125000
230,43,3182,Blmngtn,7,5,2005,2006,1373,1555,0,1555,2,1,7,1,2005,2,430,2009,192500
231,73,8760,NAmes,6,6,1959,1959,1194,1194,0,1194,3,1,6,0,1959,1,312,2010,148000
232,174,15138,NoRidge,8,5,1995,1996,1462,1490,1304,2794,4,1,9,1,1995,3,810,2009,403000
233,21,1680,BrDale,6,5,1972,1972,483,483,504,987,2,1,5,1,1972,1,288,2006,94500
234,75,10650,CollgCr,5,6,1976,1976,894,894,0,894,3,1,5,0,1976,1,308,2010,128200
235,NA,7851,Gilbert,6,5,2002,2002,860,860,1100,1960,4,1,8,2,2002,2,440,2010,216500
236,21,1680,BrDale,6,3,1971,1971,483,483,504,987,2,1,5,0,1971,1,264,2008,89500
237,65,8773,CollgCr,7,5,2004,2004,1414,1414,0,1414,3,1,6,0,2004,2,494,2010,185500
238,NA,9453,SawyerW,7,7,1993,2003,996,1014,730,1744,3,1,7,0,1993,2,457,2010,194500
239,93,12030,NridgHt,8,5,2007,2007,1694,1694,0,1694,3,1,7,0,2007,3,818,2007,318000
240,52,8741,Edwards,6,4,1945,1950,735,798,689,1487,3,1,7,1,1949,1,220,2010,113000
241,75,9000,Somerst,8,5,2008,2008,1566,1566,0,1566,3,1,7,0,2008,2,750,2010,262500
242,40,3880,OldTown,5,9,1945,1997,686,866,0,866,2,1,4,0,NA,0,0,2007,110500
243,63,5000,OldTown,5,4,1900,1950,540,889,551,1440,3,1,6,0,1940,1,352,2006,79000
244,75,10762,SawyerW,6,6,1980,1980,626,626,591,1217,3,1,6,1,1980,1,288,2009,120000
245,NA,8880,SawyerW,7,5,1994,2002,948,1222,888,2110,3,1,8,2,1994,2,463,2010,205000
246,80,10400,NWAmes,7,5,1988,1988,1845,1872,0,1872,3,1,6,1,1988,2,604,2006,241500
247,69,9142,OldTown,6,8,1910,1950,1020,908,1020,1928,4,2,9,0,1910,1,440,2006,137000
248,75,11310,NAmes,6,5,1954,1954,1367,1375,0,1375,2,1,5,1,1954,2,451,2006,140000
249,72,11317,CollgCr,7,5,2003,2003,840,840,828,1668,3,1,8,0,2003,2,500,2007,180000
250,NA,159000,ClearCr,6,7,1958,2006,1444,1444,700,2144,4,1,7,2,1958,2,389,2007,277000
251,55,5350,BrkSide,3,2,1940,1966,728,1306,0,1306,3,1,6,0,NA,0,0,2010,76500
252,44,4750,Crawfor,8,5,2006,2007,1573,1625,0,1625,2,1,5,1,2006,2,538,2007,235000
253,65,8366,SawyerW,6,5,2004,2004,798,798,842,1640,3,1,6,0,2004,2,520,2008,173000
254,85,9350,NAmes,6,7,1964,1991,1302,1302,0,1302,3,1,7,0,1964,1,309,2007,158000
